# dx	dy
2.785201743245124817e-02 4.301165789365768433e-02
2.758318558335304260e-02 4.261539503931999207e-02
2.731491625308990479e-02 4.221966490149497986e-02
2.704720571637153625e-02 4.182447120547294617e-02
2.678005583584308624e-02 4.142981022596359253e-02
2.651346474885940552e-02 4.103568196296691895e-02
2.624743431806564331e-02 4.064209014177322388e-02
2.598196268081665039e-02 4.024902731180191040e-02
2.571704797446727753e-02 3.985650092363357544e-02
2.545269206166267395e-02 3.946450352668762207e-02
2.518889307975769043e-02 3.907303884625434875e-02
2.492565289139747620e-02 3.868210315704345703e-02
2.466296963393688202e-02 3.829170018434524536e-02
2.440084144473075867e-02 3.790182992815971375e-02
2.413927018642425537e-02 3.751248493790626526e-02
2.387825399637222290e-02 3.712367266416549683e-02
2.361779473721981049e-02 3.673538565635681152e-02
2.335788868367671967e-02 3.634763136506080627e-02
2.309853769838809967e-02 3.596040233969688416e-02
2.283974178135395050e-02 3.557370230555534363e-02
2.258149906992912292e-02 3.518753126263618469e-02
2.232380956411361694e-02 3.480188548564910889e-02
2.206667326390743256e-02 3.441676497459411621e-02
2.181008830666542053e-02 3.403216972947120667e-02
2.155405655503273010e-02 3.364810347557067871e-02
2.129857614636421204e-02 3.326455876231193542e-02
2.104364894330501556e-02 3.288154304027557373e-02
2.078927122056484222e-02 3.249904885888099670e-02
2.053544484078884125e-02 3.211707621812820435e-02
2.028216794133186340e-02 3.173563256859779358e-02
2.002944052219390869e-02 3.135470673441886902e-02
1.977726444602012634e-02 3.097430802881717682e-02
1.952563598752021790e-02 3.059442900121212006e-02
1.927455700933933258e-02 3.021507151424884796e-02
1.902402564883232117e-02 2.983623556792736053e-02
1.877404376864433289e-02 2.945792116224765778e-02
1.852460764348506927e-02 2.908012829720973969e-02
1.827571913599967957e-02 2.870285324752330780e-02
1.802737824618816376e-02 2.832609973847866058e-02
1.777958311140537262e-02 2.794986404478549957e-02
1.753233373165130615e-02 2.757414802908897400e-02
1.728563010692596436e-02 2.719894982874393463e-02
1.703947223722934723e-02 2.682426944375038147e-02
1.679385825991630554e-02 2.645010687410831451e-02
1.654879003763198853e-02 2.607646211981773376e-02
1.630426384508609772e-02 2.570333331823348999e-02
1.606028340756893158e-02 2.533072046935558319e-02
1.581684499979019165e-02 2.495862543582916260e-02
1.557394955307245255e-02 2.458704262971878052e-02
1.533159706741571426e-02 2.421597763895988464e-02
1.508978661149740219e-02 2.384542487561702728e-02
1.484851725399494171e-02 2.347538806498050690e-02
1.460778992623090744e-02 2.310586348176002502e-02
1.436760276556015015e-02 2.273685298860073090e-02
1.412795670330524445e-02 2.236835658550262451e-02
1.388885080814361572e-02 2.200037054717540741e-02
1.365028508007526398e-02 2.163289673626422882e-02
1.341225858777761459e-02 2.126593515276908875e-02
1.317477039992809296e-02 2.089948393404483795e-02
1.293782144784927368e-02 2.053354494273662567e-02
1.270140986889600754e-02 2.016811445355415344e-02
1.246553659439086914e-02 1.980319619178771973e-02
1.223020162433385849e-02 1.943878456950187683e-02
1.199540216475725174e-02 1.907488331198692322e-02
1.176114007830619812e-02 1.871149055659770966e-02
1.152741443365812302e-02 1.834860630333423615e-02
1.129422429949045181e-02 1.798623055219650269e-02
1.106157060712575912e-02 1.762436144053936005e-02
1.082945056259632111e-02 1.726299896836280823e-02
1.059786602854728699e-02 1.690214313566684723e-02
1.036681607365608215e-02 1.654179207980632782e-02
1.013629976660013199e-02 1.618194766342639923e-02
9.906317107379436493e-03 1.582260802388191223e-02
9.676867164671421051e-03 1.546377409249544144e-02
9.447949938476085663e-03 1.510544400662183762e-02
9.219565428793430328e-03 1.474761869758367538e-02
8.991712704300880432e-03 1.439029537141323090e-02
8.764391764998435974e-03 1.403347589075565338e-02
8.537602610886096954e-03 1.367715932428836823e-02
8.311343379318714142e-03 1.332134474068880081e-02
8.085615001618862152e-03 1.296603213995695114e-02
7.860416546463966370e-03 1.261122059077024460e-02
7.635747548192739487e-03 1.225691009312868118e-02
7.411608006805181503e-03 1.190309971570968628e-02
7.187997456640005112e-03 1.154979038983583450e-02
6.964914966374635696e-03 1.119698025286197662e-02
6.742361001670360565e-03 1.084466930478811264e-02
6.520334631204605103e-03 1.049285661429166794e-02
6.298835389316082001e-03 1.014154311269521713e-02
6.077863276004791260e-03 9.790726937353610992e-03
5.857417825609445572e-03 9.440409019589424133e-03
5.637498106807470322e-03 9.090588428080081940e-03
5.418104585260152817e-03 8.741263300180435181e-03
5.199235863983631134e-03 8.392435498535633087e-03
4.980892874300479889e-03 8.044103160500526428e-03
4.763073753565549850e-03 7.696266751736402512e-03
4.545779433101415634e-03 7.348924875259399414e-03
4.329008515924215317e-03 7.002077531069517136e-03
4.112761002033948898e-03 6.655724719166755676e-03
3.897036891430616379e-03 6.309865042567253113e-03
3.681835252791643143e-03 5.964498966932296753e-03
3.467155853286385536e-03 5.619626026600599289e-03
3.252998227253556252e-03 5.275245290249586105e-03
3.039362141862511635e-03 4.931356757879257202e-03
2.826247131451964378e-03 4.587959498167037964e-03
2.613652963191270828e-03 4.245053511112928391e-03
2.401578938588500023e-03 3.902638563886284828e-03
2.190025057643651962e-03 3.560713725164532661e-03
1.978990389034152031e-03 3.219278762117028236e-03
1.768475165590643883e-03 2.878333441913127899e-03
1.558478455990552902e-03 2.537877066060900688e-03
1.349000260233879089e-03 2.197909168899059296e-03
1.140039996244013309e-03 1.858429750427603722e-03
9.315973147749900818e-04 1.519437995739281178e-03
7.236718665808439255e-04 1.180933555588126183e-03
5.162631860002875328e-04 8.429161389358341694e-04
3.093709237873554230e-04 5.053851637057960033e-04
1.029947161441668868e-04 1.683402952039614320e-04
-1.028658589348196983e-04 -1.682189322309568524e-04
-3.082111652474850416e-04 -5.042928969487547874e-04
-5.130416247993707657e-04 -8.398821228183805943e-04
-7.173576159402728081e-04 -1.174986944533884525e-03
-9.211595170199871063e-04 -1.509607769548892975e-03
-1.124447677284479141e-03 -1.843745121732354164e-03
-1.327222562395036221e-03 -2.177399350330233574e-03
-1.529484521597623825e-03 -2.510570921003818512e-03
-1.731234020553529263e-03 -2.843260066583752632e-03
-1.932471292093396187e-03 -3.175467485561966896e-03
-2.133196918293833733e-03 -3.507193643599748611e-03
-2.333411015570163727e-03 -3.838438540697097778e-03
-2.533114282414317131e-03 -4.169203341007232666e-03
-2.732306951656937599e-03 -4.499487578868865967e-03
-2.930989256128668785e-03 -4.829292185604572296e-03
-3.129161894321441650e-03 -5.158617626875638962e-03
-3.326825099065899849e-03 -5.487463902682065964e-03
-3.523979336023330688e-03 -5.815831944346427917e-03
-3.720624838024377823e-03 -6.143722217530012131e-03
-3.916762303560972214e-03 -6.471134722232818604e-03
-4.112391732633113861e-03 -6.798069924116134644e-03
-4.307513590902090073e-03 -7.124528754502534866e-03
-4.502128344029188156e-03 -7.450510747730731964e-03
-4.696236457675695419e-03 -7.776017300784587860e-03
-4.889838397502899170e-03 -8.101047948002815247e-03
-5.082934629172086716e-03 -8.425604552030563354e-03
-5.275525152683258057e-03 -8.749685250222682953e-03
-5.467610433697700500e-03 -9.073292836546897888e-03
-5.659190937876701355e-03 -9.396426379680633545e-03
-5.850267130881547928e-03 -9.719085879623889923e-03
-6.040839478373527527e-03 -1.004127319902181625e-02
-6.230907980352640152e-03 -1.036298740655183792e-02
-6.420473568141460419e-03 -1.068423036485910416e-02
-6.609536241739988327e-03 -1.100500114262104034e-02
-6.798096466809511185e-03 -1.132530067116022110e-02
-6.986154709011316299e-03 -1.164512988179922104e-02
-7.173710968345403671e-03 -1.196448877453804016e-02
-7.360766641795635223e-03 -1.228337734937667847e-02
-7.547320798039436340e-03 -1.260179653763771057e-02
-7.733374834060668945e-03 -1.291974633932113647e-02
-7.918928749859333038e-03 -1.323722768574953079e-02
-8.103983476758003235e-03 -1.355424057692289352e-02
-8.288538083434104919e-03 -1.387078594416379929e-02
-8.472594432532787323e-03 -1.418686471879482269e-02
-8.656151592731475830e-03 -1.450247503817081451e-02
-8.839211426675319672e-03 -1.481761969625949860e-02
-9.021773003041744232e-03 -1.513229776173830032e-02
-9.203837253153324127e-03 -1.544651109725236893e-02
-9.385404177010059357e-03 -1.576025784015655518e-02
-9.566474705934524536e-03 -1.607354171574115753e-02
-9.747049771249294281e-03 -1.638635806739330292e-02
-9.927128441631793976e-03 -1.669871248304843903e-02
-1.010671164840459824e-02 -1.701060310006141663e-02
-1.028580032289028168e-02 -1.732203178107738495e-02
-1.046439353376626968e-02 -1.763299666345119476e-02
-1.064249314367771149e-02 -1.794349774718284607e-02
-1.082009915262460709e-02 -1.825353875756263733e-02
-1.099721062928438187e-02 -1.856311783194541931e-02
-1.117383036762475967e-02 -1.887223683297634125e-02
-1.134995650500059128e-02 -1.918089389801025391e-02
-1.152558997273445129e-02 -1.948909088969230652e-02
-1.170073263347148895e-02 -1.979682967066764832e-02
-1.187538355588912964e-02 -2.010410837829113007e-02
-1.204954273998737335e-02 -2.041092701256275177e-02
-1.222321111708879471e-02 -2.071728743612766266e-02
-1.239638961851596832e-02 -2.102319151163101196e-02
-1.256907824426889420e-02 -2.132863551378250122e-02
-1.274127699434757233e-02 -2.163362503051757812e-02
-1.291298680007457733e-02 -2.193815633654594421e-02
-1.308420766144990921e-02 -2.224223129451274872e-02
-1.325494050979614258e-02 -2.254584990441799164e-02
-1.342518534511327744e-02 -2.284901402890682220e-02
-1.359494216740131378e-02 -2.315172180533409119e-02
-1.376421190798282623e-02 -2.345397695899009705e-02
-1.393299456685781479e-02 -2.375577576458454132e-02
